ScanNumber	ImageOrSpectrum	FullOrROI	AcquireOrFocus	NumFrames	NumAccum	ExposureTime	ROIX1Start	ROIX1End	ROIY1Start	ROIY1End	HHG(mbar)	Target(mbar)	ValveHHG	ValveTarget	ZPositionHHG	ZPositionTarget	InitialPower	IrisPosition	TDPosition	XPositionTarget	Wedge1Pos	Wedge2Pos	MirrorFarX	MirrorFarY	MirrorNearX	MirrorNearY	CEP	Notes
1546	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.149	67.091	0.000	0.000	0.000	0.000	0.000	60.000	105.60	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1547	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.149	67.091	0.000	0.000	0.000	0.000	0.000	60.000	105.80	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1548	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.004	66.672	0.000	0.000	0.000	0.000	0.000	60.000	105.80	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1549	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.101	66.890	0.000	0.000	0.000	0.000	0.000	60.000	105.80	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1550	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.948	66.857	0.000	0.000	0.000	0.000	0.000	60.000	106.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1551	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.948	66.857	0.000	0.000	0.000	0.000	0.000	60.000	106.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1552	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.843	66.978	0.000	0.000	0.000	0.000	0.000	60.000	106.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1553	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.028	67.131	0.000	0.000	0.000	0.000	0.000	60.000	106.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1554	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.028	67.131	0.000	0.000	0.000	0.000	0.000	60.000	106.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1555	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.794	66.922	0.000	0.000	0.000	0.000	0.000	60.000	106.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1556	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.980	67.172	0.000	0.000	0.000	0.000	0.000	60.000	106.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1557	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.980	67.172	0.000	0.000	0.000	0.000	0.000	60.000	106.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1558	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.980	67.172	0.000	0.000	0.000	0.000	0.000	60.000	106.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1559	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.690	66.874	0.000	0.000	0.000	0.000	0.000	60.000	106.60	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1560	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.093	66.737	0.000	0.000	0.000	0.000	0.000	60.000	106.60	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1561	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.093	66.737	0.000	0.000	0.000	0.000	0.000	60.000	106.60	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1562	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.738	66.849	0.000	0.000	0.000	0.000	0.000	60.000	106.80	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1563	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.738	66.849	0.000	0.000	0.000	0.000	0.000	60.000	106.80	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1564	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.069	66.922	0.000	0.000	0.000	0.000	0.000	60.000	106.80	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1565	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.069	66.922	0.000	0.000	0.000	0.000	0.000	60.000	107.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1566	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.028	66.745	0.000	0.000	0.000	0.000	0.000	60.000	107.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1567	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.077	66.737	0.000	0.000	0.000	0.000	0.000	60.000	107.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1568	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.077	66.737	0.000	0.000	0.000	0.000	0.000	60.000	107.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1569	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.875	66.865	0.000	0.000	0.000	0.000	0.000	60.000	107.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1570	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.875	66.865	0.000	0.000	0.000	0.000	0.000	60.000	107.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1571	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.165	66.986	0.000	0.000	0.000	0.000	0.000	60.000	107.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1572	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.916	66.809	0.000	0.000	0.000	0.000	0.000	60.000	107.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1573	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.916	66.809	0.000	0.000	0.000	0.000	0.000	60.000	107.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1574	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.230	66.882	0.000	0.000	0.000	0.000	0.000	60.000	107.60	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1575	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.230	66.882	0.000	0.000	0.000	0.000	0.000	60.000	107.60	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1576	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.819	66.849	0.000	0.000	0.000	0.000	0.000	60.000	107.60	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1577	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.682	66.970	0.000	0.000	0.000	0.000	0.000	60.000	107.80	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1578	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.682	66.970	0.000	0.000	0.000	0.000	0.000	60.000	107.80	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1579	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.327	66.938	0.000	0.000	0.000	0.000	0.000	60.000	107.80	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1580	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.327	66.938	0.000	0.000	0.000	0.000	0.000	60.000	108.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1581	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.642	66.898	0.000	0.000	0.000	0.000	0.000	60.000	108.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1582	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.642	66.898	0.000	0.000	0.000	0.000	0.000	60.000	108.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1583	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.109	66.785	0.000	0.000	0.000	0.000	0.000	60.000	108.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1584	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.875	66.801	0.000	0.000	0.000	0.000	0.000	60.000	108.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1585	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.875	66.801	0.000	0.000	0.000	0.000	0.000	60.000	108.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1586	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.722	66.890	0.000	0.000	0.000	0.000	0.000	60.000	108.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1587	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.722	66.890	0.000	0.000	0.000	0.000	0.000	60.000	108.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1588	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.924	66.817	0.000	0.000	0.000	0.000	0.000	60.000	108.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
